Zipcode,company_count,percentage
3720,370,0.03
4102,369,0.03
4750,369,0.03
7020,369,0.03
9971,369,0.03
3202,365,0.03
00000,364,0.03
3018,361,0.03
4260,361,0.03
7890,360,0.03
6890,359,0.03
9042,357,0.03
3061,356,0.03
3512,354,0.03
6870,354,0.03
4190,353,0.03
4620,352,0.03
4560,350,0.03
1602,349,0.03
1981,347,0.03
3111,347,0.03
4577,346,0.03
7860,345,0.03
6640,342,0.03
7760,342,0.03
4760,341,0.03
3050,339,0.03
6460,338,0.03
7822,337,0.03
6990,335,0.03
4821,334,0.03
6240,333,0.03
8377,331,0.03
3971,330,0.03
7033,330,0.03
5081,329,0.03
6941,329,0.03
7040,329,0.03
7141,329,0.03
8647,328,0.03
2243,327,0.03
4801,327,0.03
1651,325,0.03
4360,325,0.03
4480,325,0.03
3118,321,0.03
4607,321,0.03
6500,321,0.03
9402,318,0.03
3380,316,0.03
4350,313,0.03
7330,313,0.03
9570,312,0.03
2531,311,0.03
6960,311,0.03
4367,310,0.03
4670,309,0.03
1401,308,0.03
7300,308,0.03
2328,307,0.03
3294,307,0.03
7950,305,0.03
1331,303,0.03
4450,302,0.03
2242,299,0.03
3053,299,0.03
6042,299,0.03
4730,297,0.03
7301,297,0.03
6780,294,0.03
4877,293,0.03
5670,293,0.03
4317,292,0.03
5575,290,0.03
6224,290,0.03
7333,290,0.03
7503,290,0.03
6820,287,0.02
6860,286,0.02
4837,285,0.02
5370,285,0.02
9680,285,0.02
4621,284,0.02
4841,284,0.02
4850,283,0.02
7387,283,0.02
8902,283,0.02
1654,282,0.02
7712,282,0.02
4570,281,0.02
7030,280,0.02
8552,280,0.02
4820,279,0.02
6534,276,0.02
4357,275,0.02
4557,275,0.02
3272,274,0.02
6031,274,0.02
7331,274,0.02
6183,272,0.02
3450,271,0.02
2491,270,0.02
4120,268,0.02
8551,268,0.02
8904,267,0.02
7640,266,0.02
8640,266,0.02
1741,265,0.02
4050,265,0.02
4710,262,0.02
7812,262,0.02
1670,261,0.02
6470,261,0.02
7061,261,0.02
0000,255,0.02
4987,255,0.02
5001,255,0.02
9980,255,0.02
6791,254,0.02
3470,253,0.02
6980,253,0.02
7350,252,0.02
2387,249,0.02
5630,249,0.02
6044,249,0.02
8691,249,0.02
8554,247,0.02
2801,245,0.02
3052,243,0.02
6717,243,0.02
8908,243,0.02
6464,242,0.02
7880,242,0.02
5360,241,0.02
6740,241,0.02
7021,241,0.02
7740,241,0.02
5555,240,0.02
7380,240,0.02
2288,239,0.02
6850,237,0.02
7972,236,0.02
6540,235,0.02
9473,235,0.02
4210,234,0.02
7620,234,0.02
7870,234,0.02
4431,233,0.02
4608,233,0.02
4122,232,0.02
4701,232,0.02
6830,232,0.02
4347,231,0.02
6997,230,0.02
4990,227,0.02
8511,226,0.02
4681,224,0.02
6730,224,0.02
3631,223,0.02
4684,223,0.02
-,221,0.02
8421,221,0.02
1852,220,0.02
7321,220,0.02
3212,219,0.02
6810,219,0.02
4051,216,0.02
7971,216,0.02
4682,215,0.02
75009,215,0.02
7332,212,0.02
5350,211,0.02
8690,209,0.02
8851,209,0.02
9667,209,0.02
4180,208,0.02
4790,208,0.02
6440,208,0.02
8972,208,0.02
9881,208,0.02
6020,207,0.02
7750,207,0.02
8553,207,0.02
4720,206,0.02
5550,204,0.02
3221,203,0.02
1357,202,0.02
1472,202,0.02
4170,202,0.02
4830,202,0.02
4624,200,0.02
8432,199,0.02
3803,198,0.02
6720,198,0.02
7910,197,0.02
6238,196,0.02
8433,196,0.02
6181,195,0.02
4219,194,0.02
6987,194,0.02
3293,190,0.02
5560,190,0.02
7334,190,0.02
1402,189,0.02
7034,188,0.02
7322,188,0.02
3401,187,0.02
3454,187,0.02
7912,187,0.02
9970,186,0.02
4731,185,0.02
8573,185,0.02
6141,184,0.02
8954,183,0.02
2323,181,0.02
4590,181,0.02
4683,180,0.02
6680,180,0.02
7063,179,0.02
4250,175,0.02
6567,174,0.02
9406,172,0.01
4218,169,0.01
4217,168,0.01
75002,166,0.01
7904,166,0.01
4654,164,0.01
9688,163,0.01
1471,162,0.01
1547,162,0.01
6211,162,0.01
7131,162,0.01
9451,161,0.01
5031,160,0.01
6792,158,0.01
7133,158,0.01
8587,158,0.01
4633,157,0.01
7530,157,0.01
9552,157,0.01
9681,157,0.01
4980,155,0.01
6790,155,0.01
7604,155,0.01
4257,154,0.01
4602,153,0.01
1761,152,0.01
4287,152,0.01
7866,152,0.01
6660,151,0.01
3473,149,0.01
59100,149,0.01
6687,149,0.01
5680,147,0.01
8953,147,0.01
7784,146,0.01
3724,145,0.01
75017,144,0.01
9988,144,0.01
9999,144,0.01
6927,143,0.01
7062,143,0.01
1474,142,0.01
3806,142,0.01
7973,142,0.01
3891,141,0.01
4342,141,0.01
8978,141,0.01
xx,141,0.01
3798,140,0.01
6637,140,0.01
6724,140,0.01
6536,139,0.01
7864,139,0.01
7041,138,0.01
9921,138,0.01
59000,137,0.01
6747,137,0.01
6750,137,0.01
6142,136,0.01
75015,136,0.01
4851,135,0.01
5540,135,0.01
6950,135,0.01
9472,135,0.01
4831,134,0.01
6953,132,0.01
6182,131,0.01
6769,131,0.01
8581,131,0.01
7501,130,0.01
4452,129,0.01
7903,128,0.01
8399,128,0.01
9771,128,0.01
9772,128,0.01
7970,127,0.01
3051,126,0.01
6920,124,0.01
4852,123,0.01
8906,123,0.01
ZN,122,0.01
4458,120,0.01
4652,120,0.01
1473,119,0.01
5336,119,0.01
7940,119,0.01
3211,118,0.01
3790,118,0.01
6767,118,0.01
75010,116,0.01
3471,115,0.01
6630,115,0.01
5024,114,0.01
3404,113,0.01
6762,113,0.01
75001,113,0.01
75116,113,0.01
9982,111,0.01
75007,109,0.01
7608,109,0.01
9404,109,0.01
.,108,0.01
7320,108,0.01
0,107,0.01
4632,107,0.01
6670,107,0.01
1541,106,0.01
5503,106,0.01
XXXX,106,0.01
3384,105,0.01
5021,105,0.01
92400,104,0.01
9961,101,0.01
3391,100,0.01
8956,100,0.01
6661,99,0.01
75011,99,0.01
9572,99,0.01
7534,98,0.01
5364,97,0.01
6300,97,0.01
10117,96,0.01
1461,96,0.01
59800,95,0.01
8950,95,0.01
19801,94,0.01
3721,94,0.01
4601,94,0.01
9521,94,0.01
3472,93,0.01
6970,93,0.01
9401,93,0.01
4042,92,0.01
6671,92,0.01
59200,91,0.01
75016,90,0.01
4728,89,0.01
7603,89,0.01
7742,88,0.01
92200,88,0.01
4160,87,0.01
92100,86,0.01
6590,85,0.01
DN6 8DA,85,0.01
XXX,85,0.01
2449,84,0.01
3461,84,0.01
4163,84,0.01
4653,84,0.01
5520,84,0.01
7618,83,0.01
92300,83,0.01
4451,82,0.01
5561,82,0.01
6887,82,0.01
4721,81,0.01
5003,81,0.01
6852,81,0.01
7804,81,0.01
6111,80,0.01
3723,79,0.01
4761,79,0.01
6929,79,0.01
5022,78,0.01
59650,78,0.01
6698,78,0.01
4672,77,0.01
59300,77,0.01
8951,77,0.01
5351,76,0.01
7532,76,0.01
8431,76,0.01
SN,76,0.01
3742,75,0.01
9931,75,0.01
3381,74,0.01
4711,74,0.01
9636,74,0.01
6673,73,0.01
75006,73,0.01
75013,73,0.01
DN68DD,73,0.01
6511,72,0.01
6971,72,0.01
6983,71,0.01
1476,70,0.01
7782,69,0.01
7542,68,0.01
8572,68,0.01
DN68DA,68,0.01
7536,67,0.01
6723,66,0.01
75003,66,0.01
7783,66,0.01
4834,65,0.01
75012,65,0.01
3832,64,0.01
5362,64,0.01
6596,64,0.01
DN6,64,0.01
7538,63,0.01
7810,63,0.01
92800,63,0.01
5574,62,0.01
6461,62,0.01
8582,62,0.01
1724,61,0.01
3321,61,0.01
4171,61,0.01
7861,61,0.01
4623,60,0.01
7521,60,0.01
7610,60,0.01
9992,60,0.01
3054,59,0.01
6833,59,0.01
4606,58,0.01
5522,58,0.01
6221,58,0.01
59700,57,0.0
6761,57,0.0
7531,57,0.0
7743,57,0.0
1674,56,0.0
6662,56,0.0
75014,56,0.0
1404,55,0.0
7543,55,0.0
7801,55,0.0
9981,55,0.0
4631,54,0.0
6533,54,0.0
7802,54,0.0
3722,53,0.0
4351,53,0.0
6672,53,0.0
7032,53,0.0
92130,53,0.0
4861,52,0.0
5363,52,0.0
7601,52,0.0
7622,52,0.0
8958,52,0.0
4261,51,0.0
4782,51,0.0
5361,51,0.0
5501,51,0.0
5644,51,0.0
9647,51,0.0
20095,50,0.0
5334,50,0.0
6666,50,0.0
75018,50,0.0
7781,49,0.0
9551,49,0.0
19808,48,0.0
20097,48,0.0
4783,48,0.0
7504,48,0.0
7863,48,0.0
92000,48,0.0
1671,47,0.0
52146,47,0.0
7548,47,0.0
6663,46,0.0
67000,46,0.0
7602,46,0.0
7901,46,0.0
92500,46,0.0
5372,45,0.0
8070,45,0.0
9911,45,0.0
9932,45,0.0
1673,44,0.0
2453,44,0.0
4252,44,0.0
6532,44,0.0
6741,44,0.0
92110,44,0.0
10000,43,0.0
