NaceCode,avg_company_age
24520,25.77
64120,25.75
52487,25.74
80421,25.72
74501,25.72
28210,25.72
74602,25.71
45450,25.71
28150,25.71
85319,25.7
85207,25.7
29601,25.67
74132,25.64
94991,25.6
45250,25.59
15202,25.59
72300,25.58
70120,25.55
45432,25.54
94120,25.5
74852,25.46
74851,25.44
17240,25.41
24460,25.34
92623,25.32
13200,25.32
25930,25.3
22190,25.29
65122,25.26
92340,25.25
75241,25.25
16250,25.25
75245,25.24
28403,25.17
64190,25.16
46492,25.15
45422,25.12
33401,25.09
24540,25.05
92114,25.03
95000,24.99
36222,24.96
74142,24.93
25400,24.86
92113,24.85
45310,24.83
50102,24.79
80412,24.75
52426,24.7
74878,24.68
10420,24.67
55521,24.62
10620,24.58
46321,24.56
1461,24.55
92202,24.54
55202,24.5
93052,24.47
45120,24.46
45410,24.41
74879,24.4
75250,24.39
51840,24.29
70112,24.28
24440,24.24
23610,24.21
46231,24.2
65300,24.16
70113,24.15
46772,24.14
15950,24.13
85143,24.1
74151,24.1
47631,24.1
55300,24.08
52260,24.08
28220,24.06
46732,24.05
93128,24.04
1410,24.04
22310,23.96
46741,23.95
18241,23.95
13100,23.91
93126,23.86
15940,23.85
84242,23.63
46841,23.62
46832,23.61
35200,23.59
93040,23.56
75243,23.56
46872,23.54
28410,23.54
95002,23.52
70312,23.52
47512,23.51
26300,23.45
40400,23.44
93051,23.4
46710,23.39
74860,23.37
51860,23.36
26250,23.36
92112,23.3
52610,23.3
38323,23.3
92622,23.24
10610,23.23
25290,23.22
29310,23.21
47521,23.16
46491,23.1
28240,23.08
28930,23.05
46810,22.99
25739,22.94
94920,22.91
50400,22.9
47592,22.88
64992,22.84
72100,22.82
28300,22.81
46731,22.78
80424,22.77
94992,22.73
62300,22.71
47540,22.66
22250,22.64
47552,22.61
72600,22.52
24650,22.48
40120,22.41
46831,22.36
28291,22.33
3110,22.32
74141,22.31
47192,22.27
25639,22.27
24420,22.26
22320,22.26
36610,22.17
74877,22.14
72500,22.14
46431,22.09
10410,22.03
27510,22.0
47730,21.99
87304,21.98
46433,21.91
122002,21.9
13940,21.88
112101,21.82
46496,21.82
28299,21.76
15122,21.76
28292,21.73
23700,21.62
65121,21.61
32110,21.59
64991,21.57
23630,21.57
113001,21.56
27500,21.55
72400,21.54
1210,21.44
96011,21.43
46442,21.43
46751,21.42
47300,21.41
22330,21.41
84120,21.39
46699,21.39
46610,21.35
32121,21.25
28920,21.25
46820,21.15
91020,21.12
29320,21.11
64202,21.08
25210,21.07
96031,21.05
20160,21.03
46649,20.99
13960,20.97
22240,20.94
46630,20.93
46851,20.91
28950,20.9
95230,20.88
17250,20.88
86220,20.84
86959,20.83
93123,20.8
26510,20.78
36100,20.72
24410,20.72
20590,20.72
20301,20.65
46693,20.6
37000,20.59
28293,20.59
52241,20.57
40210,20.47
29100,20.41
72210,20.39
95001,20.37
96301,20.36
46643,20.35
92204,20.34
91210,20.33
23110,20.29
35220,20.25
28295,20.25
46331,20.22
23640,20.22
24430,20.21
58130,20.2
46761,20.2
46319,20.18
96101,20.12
46392,20.1
58140,20.04
1191,20.0
69202,19.97
47782,19.91
46432,19.91
37210,19.91
46350,19.9
24450,19.89
46861,19.86
58120,19.76
46900,19.75
